pdd_section,pdd_text,ir_node,ir_value,xaml_file,xaml_element,obj_repo_file,config_key,trace_status
Process Overview,Name: WebInteractionAutomation,process_name,WebInteractionAutomation,Main.xaml,StateMachine DisplayName='WebInteractionAutomation Main',,logF_BusinessProcessName,COMPLETE
Process Overview,Type: transactional,process_type,transactional,Framework/GetTransactionData.xaml,Queue-based Transaction Retrieval (transactional → queue_performer),,,COMPLETE
Systems,TheInternet (web) — https://the-internet.herokuapp.com,systems[].name='TheInternet',"{""name"": ""TheInternet"", ""type"": ""web"", ""url"": ""https://the-internet.herokuapp.com"", ""login_required""",Framework/InitAllApplications.xaml,Open TheInternet (web),".objects/TheInternet/1.0/TheInternet/S003_Dropdown_0.json, .objects/TheInternet/1.0/TheInternet/S005_Result_1.json, .objects/TheInternet/1.0/TheInternet/S001_Add_Element_0.json",,COMPLETE
Actions/S001,click 'Add Element',transactions['InteractWithTestPages'].steps['S001'].actions[0],"action=click, target=Add Element, confidence=0.5",Framework/Process.xaml,ui:NClick DisplayName='Click Add Element',.objects/TheInternet/1.0/TheInternet/S001_Add_Element_0.json,,COMPLETE
Actions/S002,check 'checkbox 1',transactions['InteractWithTestPages'].steps['S002'].actions[0],"action=check, target=checkbox 1, confidence=0.5",Framework/Process.xaml,ui:NCheck DisplayName='Check checkbox 1',.objects/TheInternet/1.0/TheInternet/S002_checkbox_1_0.json,,COMPLETE
Actions/S002,check 'checkbox 2',transactions['InteractWithTestPages'].steps['S002'].actions[1],"action=check, target=checkbox 2, confidence=0.5",Framework/Process.xaml,ui:NCheck DisplayName='Check checkbox 2',.objects/TheInternet/1.0/TheInternet/S002_checkbox_2_1.json,,COMPLETE
Actions/S003,select_item 'Dropdown' = 'Option 1',transactions['InteractWithTestPages'].steps['S003'].actions[0],"action=select_item, target=Dropdown, confidence=0.5",Framework/Process.xaml,ui:NSelectItem DisplayName='Select_Item Dropdown',.objects/TheInternet/1.0/TheInternet/S003_Dropdown_0.json,,COMPLETE
Actions/S004,type_into 'Number Input' = '42',transactions['InteractWithTestPages'].steps['S004'].actions[0],"action=type_into, target=Number Input, confidence=0.5",Framework/Process.xaml,ui:NTypeInto DisplayName='Type_Into Number Input',.objects/TheInternet/1.0/TheInternet/S004_Number_Input_0.json,,COMPLETE
Actions/S005,type_into 'Input Field' = 'Hello World',transactions['InteractWithTestPages'].steps['S005'].actions[0],"action=type_into, target=Input Field, confidence=0.5",Framework/Process.xaml,ui:NTypeInto DisplayName='Type_Into Input Field',.objects/TheInternet/1.0/TheInternet/S005_Input_Field_0.json,,COMPLETE
Actions/S005,get_text 'Result',transactions['InteractWithTestPages'].steps['S005'].actions[1],"action=get_text, target=Result, confidence=0.5",Framework/Process.xaml,ui:NGetText (placeholder),.objects/TheInternet/1.0/TheInternet/S005_Result_1.json,,PARTIAL (placeholder selector)
Configuration,MaxRetryNumber = 3,config['MaxRetryNumber'],3,Main.xaml (MaxRetryNumber variable),"Config(""MaxRetryNumber"") accessor",,MaxRetryNumber,COMPLETE
Configuration,LogLevel = Info,config['LogLevel'],Info,All XAML files (LogMessage Level),"Config(""LogLevel"") accessor",,LogLevel,COMPLETE
Configuration,OrchestratorQueueName = WebInteraction_Queue,config['OrchestratorQueueName'],WebInteraction_Queue,Framework/GetTransactionData.xaml (QueueName),"Config(""OrchestratorQueueName"") accessor",,OrchestratorQueueName,COMPLETE
Configuration,MaxConsecutiveSystemExceptions = 3,config['MaxConsecutiveSystemExceptions'],3,Data/Config.xlsx,"Config(""MaxConsecutiveSystemExceptions"") accessor",,MaxConsecutiveSystemExceptions,COMPLETE
REFramework Structure,REFramework requires Main.xaml,process_type='transactional' → REFramework,510 lines generated,Main.xaml,State machine entry point with Init/GetTransactionData/Process/EndProcess,,,COMPLETE
REFramework Structure,REFramework requires Framework/InitAllSettings.xaml,process_type='transactional' → REFramework,161 lines generated,Framework/InitAllSettings.xaml,Reads Config.xlsx into Config dictionary,,,COMPLETE
REFramework Structure,REFramework requires Framework/InitAllApplications.xaml,process_type='transactional' → REFramework,62 lines generated,Framework/InitAllApplications.xaml,Opens and logs into target applications,,,COMPLETE
REFramework Structure,REFramework requires Framework/GetTransactionData.xaml,process_type='transactional' → REFramework,73 lines generated,Framework/GetTransactionData.xaml,Retrieves queue item from Orchestrator,,,COMPLETE
REFramework Structure,REFramework requires Framework/Process.xaml,process_type='transactional' → REFramework,37 lines generated,Framework/Process.xaml,Executes transaction processing with UI activities,,,COMPLETE
REFramework Structure,REFramework requires Framework/SetTransactionStatus.xaml,process_type='transactional' → REFramework,137 lines generated,Framework/SetTransactionStatus.xaml,Sets queue item status (Success/Failed/Retry),,,COMPLETE
REFramework Structure,REFramework requires Framework/EndProcess.xaml,process_type='transactional' → REFramework,111 lines generated,Framework/EndProcess.xaml,Cleanup and final logging,,,COMPLETE
REFramework Structure,REFramework requires Framework/CloseAllApplications.xaml,process_type='transactional' → REFramework,55 lines generated,Framework/CloseAllApplications.xaml,Gracefully closes target applications,,,COMPLETE
REFramework Structure,REFramework requires Framework/KillAllProcesses.xaml,process_type='transactional' → REFramework,55 lines generated,Framework/KillAllProcesses.xaml,Force-kills application processes,,,COMPLETE
